,Bloom Color,Soil Composition,Bloom Time,Soil Moisture,Chill Hours,Soil pH Level,Fruit Color,Taste,Fruit Size,Texture,Ripens/Harvest,Years to Bear,Shade/Sun,Zone Range,Pollination
red-fuji-apple,White,Loamy,Mid,Well Drained,700,6.0 - 7.0,Red,Sweet,Medium - Large,"Firm, Juicy",Late October,2 - 5,Full Sun,5 - 8,
red-rome-beauty-apple,White,Loamy,Mid - Late,Well Drained,,6.0 - 7.0,Red,"Sweet, Tart",Large,Firm,October,2 - 3,Full Sun,4 - 8,Self-Pollinating
red-stayman-winesap-apple,White,Loamy,Mid,Well Drained,500 - 800,6.0 - 7.0,Red,"Sweet, Tart",Medium,Firm,October,2 - 5,Full Sun,5 - 8,
royal-empire-apple,Pink,Loamy,Early - Mid,Well Drained,,6.0 - 7.0,Red,Sweet,Medium,Firm,September,2 - 5,Full Sun,4 - 7,
rubymac-apple,"Cream, Red",Loamy,Early,Well Drained,800 - 1000,6.0 - 7.0,Red,"Subacid, Sweet",Medium,Crisp,Late September,2 - 5,Full Sun,5 - 8,
stark-scarlet-crush-apple,"Pink, White",Loamy,Mid,Well Drained,,6.0 - 7.0,Red,"Subacid, Sweet",Medium - Large,"Crisp, Juicy",Late September/early October,2 - 5,Full Sun,5 - 7,
september-wonder-fuji-apple,White,Loamy,Early,Well Drained,700,6.0 - 7.0,Red,,Medium,Crisp/ Juicy,Mid September,2 - 5,Full Sun,4 - 8,
sheeps-nose-apple,White,Loamy,Late,Well Drained,,6.0 - 7.0,Red,Sweet,Large,Firm,September To October,2 - 5,Full Sun,4 - 8,
smokehouse-apple,White,Loamy,Mid,Well Drained,,6.0 - 7.0,Yellow,,Medium,Firm; Very Juicy,September,2 - 5,Full Sun,4 - 8,
snappymac-apple,White,Loamy,Early - Mid,Well Drained,,6.0 - 7.0,Red,"Spicy, Sweet",Large,Firm,Early September,2 - 5,Full Sun,4 - 8,
snapp-stayman-apple,White,Loamy,Mid,Well Drained,500 - 800,6.0 - 7.0,Red,"Sweet, Tart",Medium,"Crisp, Firm",October,2 - 5,Full Sun,4 - 8,
snowsweet-apple,White,Loamy,Early - Mid,Well Drained,,6.0 - 7.0,Red,"Sweet, Tart",Medium - Large,"Fine, Firm To Crisp",Mid September,2 - 5,Full Sun,4 - 7,
starkrimson-gala-apple,"Pink, White",Loamy,Early - Mid,Well Drained,700,6.0 - 7.0,Red,Sweet,Medium,"Firm, Tender, Fine & Crisp",Late August/early September,2 - 5,Full Sun,5 - 8,
